timestamp,scene_tag,air_temp,humidity,rainfall,solar_rad,soil_vwc
2025-05-01 00:00:00,normal_spring,17.6,66.0,0.0,0.0,27.99
2025-05-01 01:00:00,normal_spring,17.1,70.1,0.0,0.0,27.98
2025-05-01 02:00:00,normal_spring,16.8,72.6,0.0,0.0,27.98
2025-05-01 03:00:00,normal_spring,16.5,76.5,0.0,0.0,27.97
2025-05-01 04:00:00,normal_spring,16.0,81.4,0.0,0.0,27.96
2025-05-01 05:00:00,normal_spring,16.0,81.4,0.0,0.0,27.95
2025-05-01 06:00:00,normal_spring,16.0,81.2,0.0,3.0,27.94
2025-05-01 07:00:00,normal_spring,15.9,82.6,0.0,43.0,27.94
2025-05-01 08:00:00,normal_spring,16.2,80.4,0.0,103.0,27.86
2025-05-01 09:00:00,normal_spring,16.5,78.1,0.0,185.0,27.76
2025-05-01 10:00:00,normal_spring,17.2,76.4,0.0,276.0,27.65
2025-05-01 11:00:00,normal_spring,17.5,74.5,0.0,358.0,27.51
2025-05-01 12:00:00,normal_spring,18.0,73.3,0.0,431.0,27.36
2025-05-01 13:00:00,normal_spring,18.7,72.3,0.0,482.0,27.19
2025-05-01 14:00:00,normal_spring,19.3,69.8,0.0,518.0,27.01
2025-05-01 15:00:00,normal_spring,20.1,69.8,0.0,523.0,26.82
2025-05-01 16:00:00,normal_spring,20.2,69.9,0.0,499.0,26.64
2025-05-01 17:00:00,normal_spring,20.1,69.9,0.0,451.0,26.48
2025-05-01 18:00:00,normal_spring,20.3,73.1,0.0,376.0,26.33
2025-05-01 19:00:00,normal_spring,20.0,74.5,0.0,0.0,26.32
2025-05-01 20:00:00,normal_spring,19.9,75.4,0.0,0.0,26.31
2025-05-01 21:00:00,normal_spring,19.7,77.2,0.0,0.0,26.3
2025-05-01 22:00:00,normal_spring,19.3,78.2,0.0,0.0,26.3
2025-05-01 23:00:00,normal_spring,19.1,78.4,0.0,0.0,26.29
2025-05-02 00:00:00,normal_spring,18.6,80.7,0.0,0.0,26.28
2025-05-02 01:00:00,normal_spring,17.9,81.9,0.0,0.0,26.27
2025-05-02 02:00:00,normal_spring,17.6,83.6,0.0,0.0,26.26
2025-05-02 03:00:00,normal_spring,17.2,84.7,0.0,0.0,26.26
2025-05-02 04:00:00,normal_spring,17.4,85.1,0.0,0.0,26.25
2025-05-02 05:00:00,normal_spring,16.7,84.5,0.0,0.0,26.24
2025-05-02 06:00:00,normal_spring,17.0,83.4,0.0,10.0,26.23
2025-05-02 07:00:00,normal_spring,17.6,82.7,0.0,53.0,26.23
2025-05-02 08:00:00,normal_spring,17.4,81.2,0.0,119.0,26.15
2025-05-02 09:00:00,normal_spring,17.7,81.0,0.0,200.0,26.05
2025-05-02 10:00:00,normal_spring,18.0,78.4,0.0,285.0,25.94
2025-05-02 11:00:00,normal_spring,18.6,76.2,0.0,374.0,25.81
2025-05-02 12:00:00,normal_spring,19.1,72.4,0.0,445.0,25.66
2025-05-02 13:00:00,normal_spring,19.8,69.3,0.0,506.0,25.5
2025-05-02 14:00:00,normal_spring,20.0,70.8,0.0,534.0,25.33
2025-05-02 15:00:00,normal_spring,20.1,70.1,0.0,545.0,25.16
2025-05-02 16:00:00,normal_spring,20.4,69.5,0.0,531.0,24.99
